seller_id,seller_zip_code_prefix,seller_city,seller_state,region_id,first_sale_timestamp,last_sale_timestamp,sold_item_count,distinct_order_count,distinct_product_count,merchandise_value,freight_value
0015a82c2db000af6aaaf3ae2ecb0532,09080,santo andre,SP,SP,2017-09-26 22:17:05,2017-10-18 08:16:34,3,3,1,2685.00,63.06
001cca7ae9ae17fb1caed9dfb1094831,29156,cariacica,ES,ES,2017-02-04 19:06:04,2018-07-12 21:38:26,239,200,11,25080.03,8854.14
001e6ad469a905060d959994f1b41e4f,24754,sao goncalo,RJ,RJ,2018-08-07 22:50:37,2018-08-07 22:50:37,1,1,1,250.00,17.94
002100f778ceb8431b7a1020ff7ab48f,14405,franca,SP,SP,2017-09-14 01:00:31,2018-04-12 12:58:23,55,51,24,1234.50,793.66
003554e2dce176b5555353e4f3555ac8,74565,goiania,GO,GO,2017-12-15 06:52:25,2017-12-15 06:52:25,1,1,1,120.00,19.38
004c9cd9d87a3c30c522c48c4fc07416,14940,ibitinga,SP,SP,2017-01-27 10:34:34,2018-05-03 11:13:38,170,158,88,19712.71,3551.23
00720abe85ba0859807595bbf045a33b,07070,guarulhos,SP,SP,2018-01-27 13:46:31,2018-08-03 16:57:01,26,13,9,1007.50,315.98
00ab3eff1b5192e5f1a63bcecfee11c8,04164,sao paulo,SP,SP,2017-03-18 11:40:26,2017-03-18 11:40:26,1,1,1,98.00,12.08
00d8b143d12632bad99c0ad66ad52825,30170,belo horizonte,MG,MG,2018-03-21 11:17:37,2018-03-21 11:17:37,1,1,1,86.00,51.10
00ee68308b45bc5e2660cd833c3f81cc,03333,sao paulo,SP,SP,2017-09-19 01:02:44,2018-08-09 20:45:10,172,135,23,20260.00,3180.66
00fc707aaaad2d31347cf883cd2dfe10,87025,maringa,PR,PR,2018-01-31 15:33:18,2018-06-13 16:19:00,135,103,19,12684.90,2285.09
010543a62bd80aa422851e79a3bc7540,01212,sao paulo,SP,SP,2017-07-04 17:54:07,2017-08-02 13:49:39,2,2,1,1416.00,31.95
010da0602d7774602cd1b3f5fb7b709e,09710,sao bernardo do campo,SP,SP,2018-06-06 18:37:14,2018-06-06 18:37:14,5,1,1,849.50,230.25
011b0eaba87386a2ae96a7d32bb531d1,17580,pompeia,SP,SP,2016-10-06 07:08:15,2016-10-06 07:08:15,2,1,1,99.98,29.18
01266d4c46afa519678d16a8b683d325,80250,curitiba,PR,PR,2018-08-02 16:07:38,2018-08-20 19:14:26,3,3,3,90.25,47.23
013900e863eace745d3ec7614cab5b1a,80740,curitiba,PR,PR,2017-03-04 10:02:28,2018-04-13 16:35:16,26,23,19,1619.70,469.67
014c0679dd340a0e338872e7ec85666a,35180,timoteo,MG,MG,2017-01-26 00:20:22,2018-07-04 23:17:21,15,14,10,7058.00,628.31
014d9a685fd57276679edd00e07089e5,87015,maringa,PR,PR,2017-11-21 13:22:00,2018-08-17 13:13:21,12,11,3,729.88,146.93
0176f73cc1195f367f7b32db1e5b3aa8,14940,ibitinga,SP,SP,2017-11-16 17:42:52,2018-08-13 17:54:44,39,38,18,4733.10,1287.01
01bcc9d254a0143f0ce9791b960b2a47,76400,uruacu,GO,GO,2017-08-12 16:25:03,2018-02-02 10:03:35,11,11,3,1521.21,277.66
01c97ebb5cdac52891c0ed1c37ba0012,15804,catanduva,SP,SP,2017-04-13 23:47:01,2018-07-31 19:13:20,12,9,3,577.50,178.50
01cf7e3d21494c41fb86034f2e714fa1,85603,francisco beltrao,PR,PR,2016-10-06 18:03:01,2018-02-26 09:41:21,67,61,21,9729.36,2008.82
01ed254b9ff8407dfb9d99ba1e17d923,08710,mogi das cruzes,SP,SP,2017-08-04 10:33:43,2017-11-08 20:24:38,5,5,2,1465.99,67.72
01fd077212124329bac32490e8ef80d9,14079,ribeirao preto / sao paulo,SP,SP,2018-04-16 10:44:09,2018-08-24 17:52:59,39,31,12,1208.00,575.36
01fdefa7697d26ad920e9e0346d4bd1b,86050,londrina,PR,PR,2017-04-26 15:57:39,2018-08-20 21:50:59,131,129,21,14921.43,2768.64
0241d4d5d36f10f80c644447315af0bd,80330,curitiba,PR,PR,2017-10-08 19:00:03,2018-08-28 15:11:49,246,238,56,31397.70,6853.91
0249d282d911d23cb8b869ab49c99f53,05676,sao paulo,SP,SP,2017-09-18 20:48:19,2018-03-22 22:37:56,11,11,4,393.00,138.88
024b564ae893ce8e9bfa02c10a401ece,03280,sao paulo,SP,SP,2016-10-05 12:41:38,2017-02-12 18:46:20,8,2,2,706.40,212.00
028872bfa080090a9d0abd4f1af168f8,33940,ribeirao das neves,MG,MG,2017-08-19 09:10:45,2017-08-19 09:10:45,3,1,1,70.50,47.37
02a2272692e13558373c66db98f05e2e,20040,rio de janeiro,RJ,RJ,2017-02-06 15:33:57,2017-03-08 11:51:41,2,2,2,54.98,38.87
02b72cdeb9cfcc429f1af6f4e3f3b737,14940,ibitinga,SP,SP,2018-07-25 21:20:47,2018-08-22 20:09:46,4,4,3,522.65,225.99
02c988090b766852e088c69d7fb3b551,13473,americana,SP,SP,2017-07-16 12:39:50,2018-08-15 09:44:30,17,13,11,1618.65,218.30
02d35243ea2e497335cd0f076b45675d,59077,natal,RN,RN,2017-04-29 22:33:10,2018-08-02 17:53:47,16,14,3,5794.00,605.95
02dcd3e8e25bee036e32512bcf175493,32310,contagem,MG,MG,2017-10-28 12:09:33,2018-08-22 16:20:30,17,14,7,1491.90,312.17
